ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,2360,53,2159,39,109
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,883,27,790,23,43
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,507,27,463,6,11
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,440,15,387,9,29
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,799,12,748,9,30
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,835,15,760,20,40
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,1873,44,1666,47,116
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3760,167,3302,99,192
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,1506,78,1340,19,69
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,1020,30,914,23,53
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,615,9,585,10,11
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,1643,24,1516,26,77
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,202,8,179,4,11
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,1016,24,911,19,62
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,976,22,886,22,46
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,1271,24,1181,21,45
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,1972,102,1774,30,66
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,610,10,571,6,23
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,2021,35,1879,30,77
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,1993,31,1850,39,73
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,1675,38,1527,33,77
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,1461,34,1329,35,63
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,2112,40,1978,28,66
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,3154,69,2873,58,154
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,989,24,898,20,47
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,530,19,469,9,33
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,1954,46,1831,23,54
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,867,12,793,20,42
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1280,23,1200,28,29
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,2227,40,2033,44,110
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,581,9,509,10,53
